model,host,size,kind,name,samples,ms
correct,44100,0,tap,R_DELAY2_T,1579,35.805
correct,44100,1,delay,leftApf1,1991.55,45.1598
correct,44100,1,delay,leftDelay1,13197,299.251
correct,44100,1,delay,leftApf2,5334.5,120.964
correct,44100,1,delay,leftDelay2,11024.6,249.992
correct,44100,1,delay,rightApf1,2690.96,61.0195
correct,44100,1,delay,rightDelay1,12497.5,283.391
correct,44100,1,delay,rightApf2,7871.35,178.489
correct,44100,1,delay,rightDelay2,9373.9,212.56
correct,44100,1,delay,inApf1,208.935,4.73774
correct,44100,1,delay,inApf2,158.553,3.59531
correct,44100,1,delay,inApf3,561.604,12.7348
correct,44100,1,delay,inApf4,410.46,9.30748
correct,44100,1,tap,L_DELAY1_T1,394,8.93424
correct,44100,1,tap,L_DELAY1_T2,4406,99.9093
correct,44100,1,tap,L_APF2_T,2834,64.263
correct,44100,1,tap,L_DELAY2_T,2957,67.0522
correct,44100,1,tap,R_DELAY1_T,2948,66.8481
correct,44100,1,tap,R_APF2_T,277,6.28118
correct,44100,1,tap,R_DELAY2_T,1579,35.805
correct,44100,2,delay,leftApf1,3983.09,90.3195
correct,44100,2,delay,leftDelay1,26393.9,598.501
correct,44100,2,delay,leftApf2,10669,241.927
correct,44100,2,delay,leftDelay2,22049.3,499.983
correct,44100,2,delay,rightApf1,5381.92,122.039
correct,44100,2,delay,rightDelay1,24995.1,566.782
correct,44100,2,delay,rightApf2,15742.7,356.977
correct,44100,2,delay,rightDelay2,18747.8,425.12
correct,44100,2,delay,inApf1,208.935,4.73774
correct,44100,2,delay,inApf2,158.553,3.59531
correct,44100,2,delay,inApf3,561.604,12.7348
correct,44100,2,delay,inApf4,410.46,9.30748
correct,44100,2,tap,L_DELAY1_T1,394,8.93424
correct,44100,2,tap,L_DELAY1_T2,4406,99.9093
correct,44100,2,tap,L_APF2_T,2834,64.263
correct,44100,2,tap,L_DELAY2_T,2957,67.0522
correct,44100,2,tap,R_DELAY1_T,2948,66.8481
correct,44100,2,tap,R_APF2_T,277,6.28118
correct,44100,2,tap,R_DELAY2_T,1579,35.805
correct,48000,0,delay,leftApf1,1083.83,22.5799
correct,48000,0,delay,leftDelay1,7182.02,149.625
correct,48000,0,delay,leftApf2,2903.13,60.4818
correct,48000,0,delay,leftDelay2,5999.8,124.996
correct,48000,0,delay,rightApf1,1464.47,30.5097
correct,48000,0,delay,rightDelay1,6801.38,141.695
correct,48000,0,delay,rightApf2,4283.73,89.2443
correct,48000,0,delay,rightDelay2,5101.44,106.28
correct,48000,0,delay,inApf1,227.412,4.73774
correct,48000,0,delay,inApf2,172.575,3.59531
correct,48000,0,delay,inApf3,611.27,12.7348
