model,host,size,decay,onset_ms,density_0_50,density_0_100,density_100_500,crest,rms_tail,peak,rt20,rt30,rt60,centroid_hz,energy_db
invariant,48000,0,0.877465,0,1220,1080,1085,25.1129,0.00438999,0.129688,6.07606,5.94325,5.94325,6980.91,6.59944
invariant,48000,0,0.95,0,1220,1080,1205,18.7455,0.00633696,0.129688,8.63687,6.12004,6.12004,6978.92,9.28465
invariant,48000,1,0.5,0,1000,940,385,29.317,0.00202823,0.129688,2.82081,2.79125,2.79125,5894.01,1.95142
invariant,48000,1,0.877465,0,1000,940,795,23.9989,0.00431473,0.129688,8.58906,6.30446,6.30446,6286.53,6.31672
invariant,48000,1,0.95,0,1000,940,875,19.0447,0.00588198,0.129688,7.41038,5.03562,5.03562,6343.81,8.61765
invariant,48000,2,0.5,0,900,920,347.5,40.6118,0.00224027,0.129688,5.63963,5.567,5.567,6508.63,2.12281
invariant,48000,2,0.877465,0,900,920,460,24.0741,0.00434181,0.129688,7.73075,5.27621,5.27621,6508.63,6.25291
invariant,48000,2,0.95,0,900,920,482.5,21.0436,0.00537205,0.129688,6.19525,4.18196,4.18196,6508.63,7.84847
invariant,88200,0,0.5,0,1360,1200,337.5,36.4003,0.00133149,0.107856,1.3484,1.37612,1.37612,11690,1.72994
invariant,88200,0,0.877465,0,1360,1200,1115,24.8213,0.00295795,0.107856,5.94037,5.84388,5.84388,11963,5.90227
invariant,88200,0,0.95,0,1360,1200,1275,18.7807,0.00422123,0.107856,8.7134,6.19077,6.19077,11981.6,8.45904
invariant,88200,1,0.5,0,1160,1060,440,41.712,0.00145366,0.105315,2.82425,2.79644,2.79644,10146.7,1.74948
invariant,88200,1,0.877465,0,1160,1060,892.5,24.713,0.00297589,0.105315,8.63439,6.37748,6.37748,10148.8,5.81545
invariant,88200,1,0.95,0,1160,1060,975,19.8701,0.00401252,0.105315,7.57395,5.15333,5.15333,10149.4,7.99849
invariant,88200,2,0.5,0,1060,1010,470,45.4386,0.00157504,0.105295,5.71218,5.61923,5.61923,11461.9,1.74793
